"CountyState","lon","lat","MajorClassAdmission","Admissions","CountryofBirth","originlon","originlat","GEOID","level"
"Philadelphia County, Pennsylvania",-75.1311874,40.0152766,"EmploymentPreference2nd","22","Korea, South",127.766922,35.907757,"42101","county"
"Montgomery County, Maryland",-77.2405153,39.1547426,"EmploymentPreference4th","14","Korea, South",127.766922,35.907757,"24031","county"
"Union County, New Jersey",-74.2883536,40.6595001,"EmploymentPreference3rdSkilled","D","Korea, South",127.766922,35.907757,"34039","county"
"Salt Lake County, Utah",-111.9522491,40.644188,"ImmediateRelatives-Spouses","4","Korea, South",127.766922,35.907757,"49035","county"
"Montgomery County, Maryland",-77.2405153,39.1547426,"EmploymentPreference2nd","65","Korea, South",127.766922,35.907757,"24031","county"
"Kent County, Michigan",-85.520024,43.0097027,"ImmediateRelatives-Children","D","Korea, South",127.766922,35.907757,"26081","county"
"Ventura County, California",-119.1390642,34.3704884,"ImmediateRelatives-Spouses","D","Korea, South",127.766922,35.907757,"06111","county"
"King County, Washington",-121.9836029,47.5480339,"FamilyPreference2nd","12","Korea, South",127.766922,35.907757,"53033","county"
"Oakland County, Michigan",-83.336188,42.5921924,"FamilyPreference2nd","D","Korea, South",127.766922,35.907757,"26125","county"
"Salt Lake County, Utah",-111.9522491,40.644188,"EmploymentPreference2nd","11","Korea, South",127.766922,35.907757,"49035","county"
"Lee County, Florida",-81.9534815,26.6630286,"ImmediateRelatives-Parents","D","Korea, South",127.766922,35.907757,"12071","county"
"Oakland County, Michigan",-83.336188,42.5921924,"EmploymentPreference2nd","74","Korea, South",127.766922,35.907757,"26125","county"
"Rockland County, New York",-73.9830029,41.1489458,"EmploymentPreference3rdSkilled","D","Korea, South",127.766922,35.907757,"36087","county"
